相似品规1,相似品规2,相似品规3,相似品规4,相似品规5
金圣(软红),长寿尊爵6,长寿(黄),中南海(3mg) ,将军(100)
中南海(软精品),云烟(紫),金圣(盛世典藏),贵烟(思味),七匹狼(纯境)
双喜(邮喜),娇子(软黄天子),娇子(时代阳光),恒大(全开式烟魁),好猫(猴王磨砂)
哈尔滨(龙烟金安),黄山(中国松),真龙(珍品),利群(软长嘴),苏烟(瑞星)
黄鹤楼(硬雪香),黄鹤楼(硬雅香),泰山(白将军),苏烟(瑞星),贵烟(甜乡洞藏)
七匹狼(大富贵),泰山(红将军),兰州(硬珍品),娇子(传奇天子),黄鹤楼(硬生态) 
泰山(八喜),泰山(红将军),利群(软老版),金圣(软红),哈德门(软)
爱喜(蓝),钻石(硬红120),爱喜(幻变),长白山(人参),红旗渠(软红)
金圣(盛世典藏),钻石(硬红120),好猫(金延安),万宝路(硬白),黄鹤楼(硬梯杷)
黄鹤楼(硬红),玉溪(软小庄园),哈尔滨(喜临门),万宝路(软白),泰山(新品)
长白山(777),黄金叶(小天叶),贵烟(甜乡洞藏),双喜(软红五叶神),金圣(硬)
哈德门(精品),泰山(好客细支),利群(长嘴),贵烟(福天下),泰山(儒风)
七匹狼(软灰),云烟(红),庐山(精品),好猫(猴王磨砂),泰山(乐章)
玉溪(软弘毅),黄金叶(硬福满堂),泰山(绿孔府),建牌(HD8),云烟(软珍品)
红双喜(硬荷派),爱喜(薄荷),天下秀(佳品),中南海(5mg细支),钻石(红石2代)
泰山(红秀),建牌(HD蓝8),黄山(小红方印),芙蓉王(蔚蓝星空),红塔山(硬经典100)
玉溪(软和谐),南京(炫赫门),红双喜(硬荷派),万宝路(硬金),长白山(揽胜)
红三环(渡江),中南海(浓味),黄果树(长征),黄鹤楼(硬雪之景),红双喜(硬精品)
泰山(平安),红金龙(硬爱你),长白山(软红),娇子(X生肖),玉溪(软小庄园)
红河(硬甲),建牌(HD8),黄鹤楼(硬奇景),云烟(软如意),中南海(3mg) 
